SMILES CHEMBL_ID RTB
COc1cc(O)c2c(c1)/C=C/C[C@H](O)[C@@H](O)C(=O)/C=C/C[C@H](C)OC2=O CHEMBL3590108 1
O=C1C[C@@]2(CO1)CO[C@@]1(CO)CC(=O)O[C@@H]21 CHEMBL465968 1
OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@H]1O CHEMBL1519430 1
O=C1Nc2ccccc2[C@@]12N1CSC[C@@H]1[C@@H](c1ccc(Cl)cc1)[C@]21C(=O)Oc2ccccc21 CHEMBL4100512 1
CC(C)[C@@H]1CC[C@@H](C)C[C@@]12N(C)C(=O)[C@@H]1[C@H]3C(=O)NC(=O)[C@H]3ON12 CHEMBL4067838 1
CC(=O)[C@H]1CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@@]4(C)[C@@H]3CC[C@]12C CHEMBL1200853 1
C[C@@H]1CC[C@H]2[C@@H](C)[C@H](N3CCSCC3)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4 CHEMBL1650013 1
O[C@]1(c2cccs2)CCN2C[C@@H]3c4ccccc4CCc4cccc(c43)[C@H]2C1 CHEMBL3303221 1
CC(=O)O[C@@H]1[C@H]2CC[C@@H]3[C@]1(C[C@@H](O)[C@@]1(O)[C@@H]([C@@H]4O[C@@H]4C1(C)C)[C@]3(C)O)C[C@@]2(C)O CHEMBL4161102 1
CC1(C)C[C@@H](O)C[C@@]2(C)[C@@H]3CC[C@@H]4C[C@@]3(CC[C@H]12)[C@@H](O)[C@]4(O)CO CHEMBL4069143 1
CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCCO4)[C@@H]21 CHEMBL2105514 1
CC(=O)O[C@]12CCC[C@H]1C1(O)C(O)CCC[C@H]12 CHEMBL1993185 1
CC(=O)OC1=CC2=CC[C@H]3[C@H]4CCC(=O)[C@@]4(C)CC(=O)[C@]3(S)[C@]2(C)CC1 CHEMBL1484823 1
C[C@@H]1C(=O)C(C=O)C[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3[C@@H](C)[C@H](C)CC[C@]3(C)CC[C@]21C CHEMBL3976102 1
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC=C2n1cnc2ccccc21 CHEMBL2392017 1
C[C@H]1O[C@@H](n2c(Cl)nc3cc(Cl)c(Cl)cc32)[C@H](O)[C@@H]1O CHEMBL2093923 1
C[C@H]1O[C@@H](n2c(Br)nc3cc(Cl)c(Cl)cc32)[C@H](O)[C@@H]1O CHEMBL2093917 1
C[C@@]12C[C@@H](c3ccoc3)OC(=O)[C@H]1CC[C@@H]1[C@H]2C[C@@H]2OC(=O)[C@@]1(O)[C@@H]2O CHEMBL519851 1
CN1C[C@H](c2ccc3c(c2)OCO3)C=C2c3cccc4c3[C@@H](CN4)C[C@H]21 CHEMBL3245276 1
COC(=O)[C@@]12COCC[C@H]3[C@@H]1CCN(C)[C@H]3c1c2[nH]c2ccccc12 CHEMBL459209 1
C=C1C(=O)O[C@@H]2C[C@@H](C)[C@@H]3C=CC(=O)[C@@]3(C)[C@@H](OC(C)=O)[C@H]12 CHEMBL486196 1
N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@H]1CCCN1 CHEMBL364621 1
