molregno,MolLogP,TPSA,NumRotatableBonds,MolWt,NumHAcceptors,NumHDonors
333151,5.605900000000003,78.52000000000001,9,570.4580000000003,6,1
88715,4.519800000000004,78.52000000000001,9,466.4310000000001,5,1
290813,6.958500000000008,70.83,11,630.849,6,1
291221,7.150600000000009,61.60000000000001,12,602.8390000000004,5,1
290685,6.968300000000007,70.83,13,658.7810000000002,6,1
289655,6.027200000000007,61.60000000000001,9,560.758,5,1
290306,6.044400000000007,80.06,13,620.8100000000004,7,1
287918,6.027200000000007,61.60000000000001,11,560.7580000000003,5,1
291231,6.044400000000007,80.06,11,620.8100000000001,7,1
292496,7.324700000000008,61.60000000000001,9,616.8660000000001,5,1
290921,6.814400000000008,70.83,11,618.8380000000001,6,1
292073,5.898880000000006,85.39,9,585.768,6,1
290814,6.958500000000008,70.83,13,630.8490000000005,6,1
291232,6.044400000000007,80.06,13,620.8100000000004,7,1
289432,6.425900000000007,70.83000000000001,13,604.811,6,1
290879,7.204500000000008,70.83,12,632.8650000000005,6,1
289621,7.694200000000008,61.60000000000001,10,636.8560000000001,5,1
292218,6.925800000000007,70.83,10,644.7540000000001,6,1
290815,6.958500000000008,70.83,13,630.8490000000005,6,1
292494,7.694200000000008,61.60000000000001,12,636.8560000000003,5,1
290464,8.228400000000008,61.60000000000001,11,662.8939999999999,5,1
75221,6.808000000000007,35.58,6,569.6340000000001,3,1
75398,7.427000000000008,41.57000000000001,5,582.6290000000002,3,1
75085,8.8007,32.34,6,620.6530000000004,2,1
74668,7.267900000000006,32.34,5,526.565,2,1
75382,7.513900000000007,32.34,5,540.5920000000001,2,1
75985,6.446900000000006,49.410000000000004,5,540.5480000000001,3,1
75496,6.620900000000007,50.80000000000001,5,584.6010000000002,4,1
75764,6.238700000000007,52.57000000000001,5,542.5640000000001,3,2
75701,8.205600000000008,41.57000000000001,5,610.6830000000003,3,1
75690,7.8516000000000075,52.57000000000001,7,632.6890000000004,3,2
75342,7.2845000000000075,41.57000000000001,5,582.6290000000002,3,1
75702,7.057100000000007,58.64000000000001,6,610.6390000000004,4,1
75700,8.309100000000006,41.57000000000001,6,624.7100000000005,3,1
75341,7.199600000000007,58.64,6,610.6390000000004,4,1
