doc_chembl_id	smarts	fraction_of_average_molecule_size
CHEMBL2401646	[#6]-&!@[#6]1:&@[#6]:&@[#8]:&@[#6]2:&@[#6]:&@1:&@[#6]:&@[#7]:&@[#6](:&@[#6]:&@2-&!@[#8]-&!@[#6](-&!@[#6])-&!@[#6]1:&@[#6](-&!@[#17,#35]):&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1-&!@[#17])-&!@[#7]	0.6888045540796964
CHEMBL2407043	[#6]-&!@[#6]1(-&!@[#6]-&!@[#16](=&!@[#8])(=&!@[#8])-&!@[#7]2-&@[#6]-&@[#6]-&@[#6,#7](-&@[#6]-&@[#6]-&@2)-&!@[#8,#6])-&@[#7]-&@[#6](-&@[#7]-&@[#6]-&@1=&!@[#8])=&!@[#8]	0.5885521885521886
CHEMBL2412975	[#6]-&!@[#6]1:,-;@[#6]:,-;@[#6]:,-;@[#6](:,-;@[#6]:,-;@[#6]:,-;@1)-&!@[#7]1-&@[#6]-&@[#6]-&@[#8]-&@[#6]2:&@[#6](-&@[#6]-&@1=&!@[#8]):&@[#6](:&@[#7,#6]:&@[#6]:&@[#7,#6]:&@2)-&!@[#7,#8]	0.6743002544529262
CHEMBL2434870	[#8]=&!@[#6]1-&@[#7](-&!@[#6])-&@[#6]-&@[#6](-&@[#7]-&@1-&!@[#6]1-&@[#6]-&@[#6]-&@[#7](-&@[#6]-&@[#6]-&@1)-&!@[#6]-&!@[#6])-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6,#7]:&@[#6,#7]:&@1	0.5246356696738376
CHEMBL2439976	[#6]-&!@[#7]-&!@[#6](=&!@[#8])-&!@[#6]1:&@[#6]:&@[#6](:&@[#8]:&@[#7]:&@1)-&!@[#6]1:&@[#6](-&!@[#8]):&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1-&!@[#8]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1)-&!@[#17,#7]	0.7175452399685287
CHEMBL3085648	[#7]#&!@[#6]-&!@[#6]1:&@[#6]:&@[#7]:&@[#6](:&@[#7]:&@1)-&!@[#6](=&!@[#8])-&!@[#7]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1-&!@[#6]1=&@[#6]-&@[#6]-&@[#6]-&@[#6]-&@[#6]-&@1)-&!@[#6,#16]-,=;!@[#6,#7,#8,#16]	0.7621097954790097
CHEMBL3102825	[#8]=&!@[#6]1-&@[#7]-&@[#6](-&@[#7]-&@[#6]-&@1=&!@[#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#16,#7]:&@1)=&!@[#16,#8]	0.5247828308635667
CHEMBL3232847	[#7]-&!@[#6]1:&@[#7,#6]:&@[#6]:&@[#7,#6]:&@[#6]2:&@[#6]:&@1-&@[#7,#6]=,-;@[#6](-&@[#6]-&@[#8]-&@2)-&!@[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1)-&!@[#35,#6,#7,#8,#9,#17]	0.7506950880444856
CHEMBL3232708	[#6]-&!@[#6,#8]-&!@[#7,#6]1-,:;@[#6]-,:;@[#6]-,:;@[#6]2-,:;@[#6](-,:;@[#6]-,:;@1)-&@[#6]1:,-;@[#6]:,-;@[#6,#7]:,-;@[#6]:,-;@[#6]:,-;@[#6]:,-;@1-&@[#7]-&@2	0.5013927576601671
CHEMBL3286316	[#8]=&!@[#6](-&!@[#6]=,-;!@[#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1)-&!@[#7]-&!@[#6]	0.5517241379310345
CHEMBL3297742	[#8,#6]=,-;!@[#6,#7]1-&@[#7,#6]-&@[#6]-&@[#6]-,:;@[#6,#7]:&@[#7,#6]:&@[#6](:&@[#6,#7]:&@[#6,#7]:,-;@[#6]-&@1)-&!@[#8,#6]-&!@[#6,#8]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6,#7]:&@[#6,#7]:&@1	0.8092933204259439
CHEMBL3352559	[#7,#6]-&!@[#6]-&!@[#6,#8]-&!@[#6](-&!@[#6,#7]1:,-;@[#6]:,-;@[#6]:,-;@[#6,#7,#8]:,-;@[#6,#7]:,-;@[#6]:,-;@1)-,=;!@[#7,#6,#8]	0.47066014669926654
CHEMBL3351225	[#8,#6]=,-;!@[#6](-&!@[#7]-&!@[#6]-&!@[#6]1-&@[#8]-&@[#6](-&@[#7]2-&@[#6]-&@1-&@[#6]-&@[#8,#6,#7,#16]-&@[#6]1:&@[#6]-&@2:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@1)-&!@[#7,#6]1-,:;@[#6]-,:;@[#6]-,:;@[#8,#6,#7]-,:;@[#6]-,:;@[#6]-,:;@1=,-;!@[#8,#16])=&!@[#8])-,=;!@[#6,#7,#8]	0.7924094307073031
CHEMBL3352820	[#6]-&!@[#7](-&!@[#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1)-&!@[#6]	0.43076923076923074
CHEMBL3352189	[#6]-&!@[#6,#7]1:,-;@[#6,#7]:,-;@[#6]:,-;@[#6,#7]:,-;@[#6,#7]:,-;@[#6,#7]:,-;@1-,=;!@[#7,#6]=,-;!@[#6,#7]1-,:;@[#6]-,:;@[#7,#6]-,:;@[#6,#7,#8]-,:;@[#6,#7]-,:;@[#7,#6]-,:;@1	0.49824970828471415
