doc_chembl_id,numAtoms,avgNumMolAtoms,smarts,time,scaff_frac
CHEMBL3862029,25,39.25581395348837,"[#6]#,=;!@[#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]2:&@[#6](:&@[#6]:&@1)-&@[#8]-&@[#6](-&!@[#6]-&!@[#7](-&!@[#6])-&!@[#6])-&@[#6](-&@[#6]-&@[#7](-&@[#16]-&@2(=&!@[#8])=&!@[#8])-&!@[#6](-&!@[#6])-&!@[#6]-&!@[#8])-&!@[#6]",21.427368879318237,0.6368483412322276
CHEMBL3865829,34,41.29032258064516,[#6]1:&@[#7]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1-&!@[#7]-&!@[#16](=&!@[#8])(=&!@[#8])-&!@[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1)-&!@[#9])-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]2:&@[#6](:&@[#6]:&@1):&@[#6](:&@[#6]:&@[#6]:&@[#7]:&@2)-&!@[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1)-&!@[#6],9.378753662109375,0.8234375
CHEMBL3994586,20,25.8125,[#8]=&!@[#6](-&!@[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#16]:&@1)-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1)-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@1)-&!@[#8],0.1484084129333496,0.774818401937046
CHEMBL3994677,34,43.41935483870968,[#6](-&!@[#7]-&!@[#6](=&!@[#8])-&!@[#6]1:&@[#6](-&!@[#6]-&!@[#7]2-&@[#6]-&@[#6]-&@[#6](-&@[#6]-&@[#6]-&@2)-&!@[#7]):&@[#6](-&!@[#6]2:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@2):&@[#7]:&@[#6]2:&@[#6]:&@1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@2)-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1,30.098502159118652,0.7830609212481426
CHEMBL4004830,22,32.86486486486486,[#6]-&!@[#6]1:&@[#7]:&@[#6](:&@[#16]:&@[#6]:&@1-&!@[#6]1:&@[#6]:&@[#6]:&@[#7]:&@[#6](:&@[#7]:&@1)-&!@[#7]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#7]:&@1)-&!@[#7])-&!@[#7]-&!@[#6],3.675987958908081,0.6694078947368421
CHEMBL4007421,25,29.048,[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1)-&!@[#16](=&!@[#8])(=&!@[#8])-&!@[#6]1:&@[#6]:&@[#7]:&@[#6]2:&@[#6](:&@[#6]:&@1-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1):&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@2,29.507978439331055,0.8606444505645828
CHEMBL4007422,19,29.658536585365855,[#8]=&!@[#16](=&!@[#8])(-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1)-&!@[#7]1:&@[#6]:&@[#6](:&@[#6]2:&@[#6]:&@1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@2)-&!@[#6],4.124466896057129,0.640625
CHEMBL4007489,20,30.03846153846154,[#7]-&!@[#6]-&!@[#7]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]2:&@[#6](:&@[#6]:&@1):&@[#6](:&@[#7]:&@[#6]:&@[#7]:&@2)-&!@[#7]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1,0.05423784255981445,0.6658130601792573
CHEMBL4011618,21,28.20689655172414,"[#6]-&!@[#7]-&!@[#6](=&!@[#8])-&!@[#7]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1)-&!@[#6]1:,-;@[#6]:,-;@[#6]:,=;@[#7]:,-;@[#6]2:&@[#6]:,-;@1:&@[#6](:&@[#7]:&@[#7]:&@2)-&!@[#6]",1.9336004257202148,0.7444987775061125
CHEMBL4011639,38,42.774193548387096,"[#6](=,-;!@[#8])-&!@[#7]-&!@[#6]1:&@[#6]:&@[#6]:&@[#7](:&@[#6](:&@[#7]:&@1)=&!@[#8])-&!@[#6]1-&@[#8]-&@[#6](-&@[#6](-&@[#6]-&@1(-&!@[#6])-&!@[#9])-&!@[#8])-&!@[#6]-&!@[#8]-&!@[#15](=&!@[#8])(-&!@[#7]-&!@[#6](-&!@[#6])-&!@[#6](=&!@[#8])-&!@[#8]-&!@[#6](-&!@[#6])-&!@[#6])-&!@[#8]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1",0.5453226566314697,0.8883861236802414
