assay_chembl_id	smarts	fraction_of_average_molecule_size
CHEMBL828296	[#6]-&!@[#7]=&!@[#6]1:&@[#16]:&@[#6](:&@[#7]:&@[#7]:&@1-&!@[#6])-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1	0.6281368821292775
CHEMBL831532	[#6]-&!@[#8]-&!@[#6]1:&@[#6]:&@[#6]2:&@[#6](-&!@[#7]3-&@[#6]-&@[#6]-&@[#7](-&@[#6]-&@[#6]-&@3)-&!@[#6](-,=;!@[#16,#7])=,-;!@[#7]-&!@[#6]):&@[#7,#6]:&@[#6]:&@[#7]:&@[#6]:&@2:&@[#6]:&@[#6]:&@1-&!@[#8]-&!@[#6]-&!@[#6]-&!@[#7,#6]	0.651033386327504
CHEMBL838700	[#6]-&!@[#6]-&!@[#7]-&!@[#6](=&!@[#8])-&!@[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1)-&!@[#6](-&!@[#35,#6])=&!@[#6]1-&@[#6]-&@[#6]2-&@[#6]-&@[#6]-&@[#6](-&@[#6]-&@1)-&@[#7]-&@2-&!@[#6]-&!@[#6]	0.6814814814814815
CHEMBL830074	[#6,#7,#8]-,=;!@[#6](=,-;!@[#8,#6,#7])-&!@[#7](-&!@[#6])-&!@[#6]1-&@[#6]-&@[#6]-&@[#7](-&@[#6]-&@[#6]-&@1)-&!@[#6]-&!@[#6]-&!@[#6](-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1)-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1	0.7505385609651012
CHEMBL826961	[#6]-&!@[#7](-&!@[#6])-&!@[#6](=&!@[#8])-&!@[#6]-&!@[#7]-&!@[#6](=&!@[#8])-&!@[#6]1:&@[#6]:&@[#6]2:&@[#6](:&@[#7]:&@1):&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@2)-&!@[#17]	0.7366997294860234
CHEMBL827163	[#6,#7]-&!@[#7,#6,#8]-&!@[#6,#8]-&!@[#6]1:&@[#6,#7]:&@[#6](-&!@[#6]2:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@2)-&!@[#17,#7,#9]):&@[#6](:&@[#7,#6]:&@[#6]:&@1)-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1	0.6843317972350231
CHEMBL828952	[#6](-,:;@[#6]1-,:;@[#6]-,:;@[#6]-,:;@[#7,#6]-,:;@[#6]-,:;@[#6]-,:;@1)-,:;@[#6]-&!@[#6]-&!@[#6]1:,-;@[#6,#7]:,-;@[#6,#7]:,-;@[#6]:,-;@[#7,#6]:,-;@[#6,#7]:,-;@1	0.5564516129032259
CHEMBL831099	[#6]1:,-;@[#8,#6,#7]:,-;@[#6,#7](:,-;@[#7,#6,#8]:,-;@[#6]:&@1)-&!@[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1)-&!@[#7,#6]-,=;!@[#6]=,-;!@[#8,#6]	0.4330594490091832
CHEMBL839720	[#6]-&!@[#6]-&!@[#8]-&!@[#6]1-&@[#6]-&@[#6]2-&@[#6](-&@[#6]-&@1(-&!@[#7])-&!@[#6](=&!@[#8])-&!@[#8])-&@[#6]-&@2(-&!@[#9])-&!@[#6](=&!@[#8])-&!@[#8]	0.7034482758620689
CHEMBL839940	[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1)-&!@[#7]-&!@[#6]1:&@[#7]:&@[#6]:&@[#6]:&@[#6](:&@[#7]:&@1)-&!@[#6]1:&@[#6]:&@[#7]:&@[#7]2:&@[#6]:&@1:&@[#6]:&@[#6]:&@[#6]:&@[#7]:&@2	0.7344093910491563
