chembl_id canonical_smiles
CHEMBL4636488 c1ccc(-c2cc(N[C@H]3CCCNC3)c3ccncc3c2)cc1
CHEMBL3799192 c1ccc(-c2cnc3nnc(Cc4ccc5ncccc5c4)n3n2)cc1
CHEMBL247062 c1ccc(C2CNCc3cc(OCCCN4CCCCC4)ncc32)cc1
CHEMBL2417616 c1ccc(-c2cncc(Cc3ccc(-c4ccccc4)nc3)c2)cc1
CHEMBL2069500 c1ccc(-c2c[nH]c([C@H]3Cc4c([nH]c5ccccc45)C(C4CCCCC4)N3)n2)cc1
CHEMBL17491 c1ccc(-c2nc[nH]n2)c(NCC2=NCCN2)c1
CHEMBL42557 c1ccc(-c2[nH]c3ccccc3c2C2CCCNC2)cc1
CHEMBL300862 c1ccc(-c2nnc3c4ccccc4c(OCc4cnccn4)nn23)cc1
CHEMBL3397792 c1ccc(C(c2ccccc2)[C@@H]2CC[C@H](NCc3ccc4occc4c3)CO2)cc1
CHEMBL294547 c1ccc(CC2CCN(CCCc3c[nH]c4ccc(-n5cnnc5)cc34)CC2)cc1
CHEMBL1256153 c1ccc(Cc2nc3ccccc3n3cnnc23)cc1
CHEMBL5916308 c1ccc(Cc2nc3c(N4CCOCC4)nccn3c2-c2ccc3[nH]ncc3c2)cc1
CHEMBL64305 c1ccc(CCCCCN2CCC3(CC2)OCc2ccccc23)cc1
CHEMBL19315 c1ccc(CCCCCNCc2ccccc2)cc1
CHEMBL178153 c1ccc(CCCN2CCC(Cc3ccccc3)CC2)cc1
CHEMBL346242 c1ccc(CCCN2CCC(CCCn3c(COc4ccccc4)nc4c(OCCCN5CCCCC5)cccc43)CC2)cc1
CHEMBL513691 c1ccc([C@@H]2Cc3nccn3C2)c(-c2cncnc2)c1
CHEMBL4873323 c1ccc([C@H]2CCC[C@@H](CCNCC3CCCCC3)O2)cc1
CHEMBL2170655 c1ccc(CN2CCC3(CC2)OCCc2ccsc23)cc1
CHEMBL570789 c1ccc(CN2CCC3(CCc4ccccc4C3)CC2)cc1
CHEMBL38634 c1ccc(CN2CCC3(CCc4ccccc4O3)CC2)cc1
CHEMBL179648 c1ccc(CN2CCN(CC3CCc4ccccc4O3)CC2)cc1
CHEMBL362699 c1ccc(CN2CCN(CC3COc4ccccc4C3)CC2)cc1
CHEMBL56900 c1ccc(Cn2c(N3CCNCC3)nc3ccccc32)cc1
CHEMBL1579165 c1ccc(Cn2nnnc2C(c2cccnc2)N2CCN(C3CCCCC3)CC2)cc1
CHEMBL1222595 c1ccc(Cn2nnnc2C(c2ccc(Oc3ccccn3)cc2)N2CCCN(C3CCC3)CC2)cc1
CHEMBL521935 c1cc(CCNc2c3c(nc4ccccc24)CCCC3)nc(CCNc2c3c(nc4ccccc24)CCCC3)c1
CHEMBL565514 c1ccc(CNCc2ccc(CN3CCNCCc4cccc(n4)CCNCC3)cc2)nc1
CHEMBL431690 c1ccc(CN[C@H]2C3CCN(CC3)[C@H]2C(c2ccccc2)c2ccccc2)cc1
CHEMBL1824247 c1ccc(CN[C@H]2CC[C@H](c3ccc(OCCCN4CCCCC4)cc3)CC2)cc1
CHEMBL524911 c1ccc(COc2cncc(N3C[C@H]4CNC[C@H]4C3)c2)cc1
CHEMBL4089705 c1cc([C@H]2CC[C@]3(CC2)OOC2(O3)C3CC4CC(C3)CC2C4)ccc1OC1CCNCC1
CHEMBL1824236 c1cc([C@H]2CC[C@H](N3CCCCC3)CC2)ccc1OCCCN1CCCCC1
