assay_chembl_id	smarts	fraction_of_average_molecule_size
CHEMBL768259	[#8]=&!@[#6]1-&@[#7]-&@[#6](-&!@[#6]-,=;!@[#6]-&!@[#6]2:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@2)-&@[#6](-&@[#6](-&@[#7]-&@1-&!@[#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1)-&!@[#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1)-&!@[#8]	0.7447248655357882
CHEMBL701802	[#6]1:&@[#6]:&@[#6](-&!@[#16](=&!@[#8])(=&!@[#8])-&!@[#7]-,=;!@[#6]):&@[#6]:&@[#6]:&@[#6]:&@1	0.39412034910427196
CHEMBL828296	[#6]-&!@[#7]=&!@[#6]1:&@[#16]:&@[#6](:&@[#7]:&@[#7]:&@1-&!@[#6])-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1	0.6281368821292775
CHEMBL831532	[#6]-&!@[#8]-&!@[#6]1:&@[#6]:&@[#6]2:&@[#6](-&!@[#7]3-&@[#6]-&@[#6]-&@[#7](-&@[#6]-&@[#6]-&@3)-&!@[#6]=&!@[#7]-&!@[#6]):&@[#7]:&@[#6]:&@[#7]:&@[#6]:&@2:&@[#6]:&@[#6]:&@1-&!@[#8]-&!@[#6]-&!@[#6]	0.6009538950715422
CHEMBL838700	[#6]-&!@[#6]-&!@[#7]-&!@[#6](=&!@[#8])-&!@[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1)-&!@[#6](-&!@[#6])=&!@[#6]1-&@[#6]-&@[#6]2-&@[#6]-&@[#6]-&@[#6](-&@[#6]-&@1)-&@[#7]-&@2-&!@[#6]-&!@[#6]	0.6814814814814815
CHEMBL830074	[#6](=&!@[#8])-&!@[#7](-&!@[#6])-&!@[#6]1-&@[#6]-&@[#6]-&@[#7](-&@[#6]-&@[#6]-&@1)-&!@[#6]-&!@[#6]-&!@[#6](-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1)-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1	0.7216716932356743
CHEMBL826961	[#6]-&!@[#7](-&!@[#6])-&!@[#6](=&!@[#8])-&!@[#6]-&!@[#7]-&!@[#6](=&!@[#8])-&!@[#6]1:&@[#6]:&@[#6]2:&@[#6](:&@[#7]:&@1):&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@2)-&!@[#17]	0.7366997294860234
CHEMBL827163	[#6]1:&@[#6]:&@[#6](-&!@[#6]2:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@2):&@[#6](:&@[#7]:&@[#6]:&@1)-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1-&!@[#17]	0.5910138248847927
CHEMBL828952	[#6]1-&@[#6]2-&@[#6]-&@[#6]-&@[#7](-&@[#6]-&@1-&!@[#6]-&!@[#6])-&@[#6]-&@[#6]-&@2	0.3709677419354839
CHEMBL831099	[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1)-&!@[#7]-&!@[#6](=&!@[#8])-&!@[#6]	0.30932817786370226
CHEMBL839720	[#6]-&!@[#6]-&!@[#8]-&!@[#6]1-&@[#6]-&@[#6]2-&@[#6](-&@[#6]-&@1(-&!@[#7])-&!@[#6](=&!@[#8])-&!@[#8])-&@[#6]-&@2(-&!@[#9])-&!@[#6](=&!@[#8])-&!@[#8]	0.7034482758620689
CHEMBL839940	[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1)-&!@[#7]-&!@[#6]1:&@[#7]:&@[#6]:&@[#6]:&@[#6](:&@[#7]:&@1)-&!@[#6]1:&@[#6]:&@[#7]:&@[#7]2:&@[#6]:&@1:&@[#6]:&@[#6]:&@[#6]:&@[#7]:&@2	0.7344093910491563
CHEMBL877109	[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1	0.21351211964930375
CHEMBL829157	[#7]#&!@[#6]-&!@[#6]1:&@[#6](-&!@[#7]):&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1-&!@[#16]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1	0.8325449385052034
CHEMBL831137	[#8]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]2:&@[#6](:&@[#6]:&@1):&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@2)-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1	0.8425655976676385
CHEMBL827890	[#6]-&!@[#6]1:&@[#6](-&!@[#6]2:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@2):&@[#6](=&!@[#8]):&@[#7](:&@[#6](:&@[#7]:&@1-&!@[#6]-&!@[#6])=&!@[#8])-&!@[#6]-&!@[#6](-&!@[#7])-&!@[#6]	0.6085353003161222
CHEMBL877110	[#7]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1	0.24647887323943662
CHEMBL828963	[#6]-&!@[#7]1-&@[#6]-&@[#6]-&@[#7](-&@[#6]-&@[#6]-&@1)-&!@[#6](-&!@[#6]-&!@[#7]-&!@[#6])-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1	0.505720823798627
CHEMBL828695	[#6]1:,-;@[#6]:,-;@[#6]:,-;@[#6]:,-;@[#6]:&@[#6]:,-;@1	0.32978723404255317
CHEMBL840221	[#6]1-&@[#6]-&@[#6]2-&@[#6]3-&@[#6]-&@[#6]4:&@[#6](-&@[#6]-&@2(-&@[#6]-&@[#6]-,:;@1)-&@[#6]-&@[#6]-&@[#7]-&@3-&!@[#6]):&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@4	0.5411082940963419
CHEMBL826384	[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1	0.20036596523330283
CHEMBL828848	[#6]-&!@[#6]-&!@[#6]1:&@[#7]:&@[#6]:&@[#6]:&@[#8]:&@1	0.2814922480620155
CHEMBL828215	[#6]-&!@[#6](-&!@[#7]-&!@[#6](=&!@[#8])-&!@[#6]1-&@[#6]-&@[#6]-&@[#6]-&@[#7]-&@1)-&!@[#6](=,-;!@[#8])-&!@[#6]	0.328027950310559
CHEMBL831708	[#8]=&!@[#6](-&!@[#7]-&!@[#6])-&!@[#7]-&!@[#6]1-,:;@[#6]-,:;@[#6]-,:;@[#6]-,:;@[#6]-,:;@[#6]-,:;@1-&!@[#6]-&!@[#7]1-&@[#6]-&@[#6]-&@[#6]-&@[#6]-&@[#6]-&@1	0.537564162389174
CHEMBL884801	[#8]=&!@[#16](=&!@[#8])(-&!@[#6])-&!@[#7]1:&@[#6]:&@[#6](:&@[#6]2:&@[#6]:&@1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@2)-&!@[#6]	0.5404277516953573
CHEMBL872182	[#6]1:,-,=;@[#6]:,-,=;@[#6]:,-;@[#6]:,-,=;@[#6]:,-;@[#6]:,-;@1	0.31814415907207955
CHEMBL882493	[#6]-&!@[#6]-&!@[#6]-&!@[#6]-&!@[#6]1(-&!@[#6]-&!@[#6]-&!@[#6]-&!@[#6])-&@[#6]-&@[#16](=&!@[#8])(=&!@[#8])-&@[#6]2:&@[#6](-&@[#6](-&@[#6]-&@1-&!@[#8])-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1):&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@2)-&!@[#7](-&!@[#6])-&!@[#6]	0.8077378602447691
CHEMBL871626	[#6]-,=;!@[#7]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1)-&!@[#6]1:&@[#6]:&@[#16]:&@[#6]2:&@[#6]:&@1:&@[#6](:&@[#7]:&@[#6]:&@[#7]:&@2)-&!@[#7]	0.6176943699731904
CHEMBL880254	[#6](-&!@[#15](=&!@[#8])(-&!@[#8])-&!@[#8])-&!@[#15](=&!@[#8])(-&!@[#8])-&!@[#8]	0.4260355029585799
CHEMBL880598	[#8]=&!@[#6](-&!@[#8])-&!@[#6](=&!@[#8])-&!@[#6]=&!@[#6](-&!@[#8])-&!@[#6]	0.42458899213724094
CHEMBL880577	[#8]=&!@[#16](=&!@[#8])(-&!@[#6])-&!@[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#7]:&@[#7]:&@1)-,=;!@[#8]	0.5596330275229358
CHEMBL862701	[#7]#&!@[#6]-&!@[#6]-&!@[#7]-&!@[#6](=&!@[#8])-&!@[#6]-&!@[#7]-&!@[#6]=&!@[#8]	0.33503691084611015
CHEMBL864514	[#6]-&!@[#6]-&!@[#8]-&!@[#6]1:&@[#6]:&@[#6]2:&@[#7]:&@[#6]:&@[#7]:&@[#6](:&@[#6]:&@2:&@[#6]:&@[#6]:&@1-&!@[#8]-&!@[#6])-&!@[#7]-&!@[#6]1=&@[#6]-&@[#6](=&!@[#8])-&@[#6]=&@[#6]-&@[#6]-&@1=&!@[#8]	0.7219690063810392
CHEMBL863355	[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1)-&!@[#7](-&!@[#6]-&!@[#6](=&!@[#8])-&!@[#7])-&!@[#16](=&!@[#8])(=&!@[#8])-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1	0.5624201107797188
CHEMBL858719	[#8]=,-;!@[#6]1:&@[#6]:&@[#6](-,=;!@[#7]):&@[#8]:&@[#6]2:&@[#6]:&@1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@2	0.4541317365269461
CHEMBL865131	[#7]-&!@[#6]-&!@[#6]-&!@[#6]-&!@[#7]1:&@[#6]:&@[#6]:&@[#7]:&@[#6]:&@1	0.43902439024390244
CHEMBL853597	[#6]1:&@[#6]:&@[#6]:&@[#6]2:&@[#6](:&@[#6]:&@1)-&@[#6]-&@[#6]-&@[#7]1-&@[#6]-&@2-&@[#6]2-&@[#6]-&@[#6]-&@[#6]-&@[#6](-&@[#7]-&@2)-&@[#6]-&@1=&!@[#8]	0.5188284518828452
CHEMBL859660	[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1)-&!@[#6](-&!@[#8])(-&!@[#6](-&!@[#9])(-&!@[#9])-&!@[#9])-&!@[#6](-&!@[#9])(-&!@[#9])-&!@[#9]	0.5667299177735611
