smiles target_chembl_id target_index
NCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](CC2CCCCC2)NCC(=O)O)C(=O)c3occn3 CHEMBL204 0
NCCCC[C@H](NC(=O)CN(C1CCCC1)C(=O)[C@@H](CC2CCCCC2)NCC(=O)O)C(=O)C(=O)O CHEMBL204 0
NCCCC[C@H](NC(=O)[C@@H]1C=CCN1C(=O)[C@@H](CC2CCCCC2)NCC(=O)O)C(=O)C(=O)O CHEMBL204 0
NCCCC[C@H](NC(=O)[C@@H]1CCCCN1C(=O)[C@@H](CC2CCCCC2)NCC(=O)O)C(=O)C(=O)O CHEMBL204 0
NCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)CC2CCCCC2)C(=O)C(=O)O CHEMBL204 0
N[C@@H](Cc1ccccc1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CCCN=C(N)N)C(=O)c3nccs3 CHEMBL204 0
CN(C1CCCC1)C(=O)[C@H](Cc2ccc(cc2)C(=N)NN)NS(=O)(=O)c3ccc4ccccc4c3 CHEMBL204 0
CCCc1ccc(cc1)S(=O)(=O)N[C@@H](Cc2ccc(s2)C(=N)N)C(=O)N(C)C3CCCC3 CHEMBL204 0
COc1ccc2cc(ccc2c1)S(=O)(=O)N[C@@H](Cc3ccc(s3)C(=N)N)C(=O)N(C)C4CCCC4 CHEMBL204 0
CCCc1ccc(cc1)S(=O)(=O)N[C@@H](Cc2ccc(cc2)C(=N)N)C(=O)N(C)C3CCCC3 CHEMBL204 0
CS(=O)(=O)N[C@H](C(c1ccccc1)c2ccccc2)C(=O)N3CCC[C@H]3C(=O)NCc4ccc(s4)C(=N)NN CHEMBL204 0
CS(=O)(=O)N[C@H](Cc1ccc(Cl)c(Cl)c1)C(=O)N2CCC[C@H]2C(=O)NCc3ccc(cc3)C(=N)N CHEMBL204 0
CS(=O)(=O)N[C@H](CC1CCCCC1)C(=O)N2CCC[C@H]2C(=O)NCc3ccc(cc3)C(=N)N CHEMBL204 0
CS(=O)(=O)N[C@H](C(c1ccccc1)c2ccccc2)C(=O)N3CCC[C@H]3C(=O)NCc4ccc(s4)C(=N)N CHEMBL204 0
CS(=O)(=O)N[C@H](C(c1ccccc1)c2ccccc2)C(=O)N3CCC[C@H]3C(=O)NCc4ccc(cc4)C(=N)N CHEMBL204 0
CS(=O)(=O)N[C@H](C1CCCCC1)C(=O)N2CCC[C@H]2C(=O)NCc3ccc(cc3)C(=N)N CHEMBL204 0
CN(C1CCCC1)C(=O)[C@H](Cc2ccc(cc2)C(=N)NN)NS(=O)(=O)c3ccc4ccccc4c3 CHEMBL204 0
NC(=N)c1ccc(CNC(=O)[C@@H]2CCCN2C(=O)[C@H](NS(=O)(=O)NC3CCCCC3)C(c4ccccc4)c5ccccc5)cc1.OC(=O)C(F)(F)F CHEMBL204 0
NC(=N)c1ccc(CNC(=O)[C@@H]2CCCN2C(=O)[C@H](NS(=O)(=O)Cc3ccccc3)C(c4ccccc4)c5ccccc5)cc1.OC(=O)C(F)(F)F CHEMBL204 0
NC(=N)c1ccc(CNC(=O)[C@@H]2CCCN2C(=O)[C@H](NS(=O)(=O)N)C(c3ccccc3)c4ccccc4)cc1.OC(=O)C(F)(F)F CHEMBL204 0
NC(=N)c1ccc(CNC(=O)[C@@H]2CCCN2C(=O)[C@H](NCC(=O)O)C(c3ccccc3)c4ccccc4)cc1.OC(=O)C(F)(F)F CHEMBL204 0
NC(=N)c1ccc(CNC(=O)[C@@H]2CCCN2C(=O)[C@H](Nc3ccccc3)C(c4ccccc4)c5ccccc5)cc1.OC(=O)C(F)(F)F CHEMBL204 0
COP(O)(O)(N[C@H](C(c1ccccc1)c2ccccc2)C(=O)N3CCC[C@H]3C(=O)NCc4ccc(cc4)C(=N)N)OC.OC(=O)C(F)(F)F CHEMBL204 0
NC(=N)c1ccc(CNC(=O)[C@@H]2CCCN2C(=O)[C@H](NS(=O)(=O)O)C(c3ccccc3)c4ccccc4)cc1.OC(=O)C(F)(F)F CHEMBL204 0
COC(=O)N[C@H](C(c1ccccc1)c2ccccc2)C(=O)N3CCC[C@H]3C(=O)NCc4ccc(cc4)C(=N)N.OC(=O)C(F)(F)F CHEMBL204 0
CC(=O)N[C@H](C(c1ccccc1)c2ccccc2)C(=O)N3CCC[C@H]3C(=O)NCc4ccc(cc4)C(=N)N.OC(=O)C(F)(F)F CHEMBL204 0
N[C@H](C(c1ccccc1)c2ccccc2)C(=O)N3CCC[C@H]3C(=O)NCc4ccc(cc4)C(=N)N.OC(=O)C(F)(F)F CHEMBL204 0
