doc_chembl_id	smarts	fraction_of_average_molecule_size
CHEMBL1212923	[#6](=&!@[#8])-&!@[#7]1-&@[#6]-&@[#6]-&@[#7](-&@[#6]-&@[#6]-&@1)-&!@[#6]-&!@[#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1	0.6161490683229813
CHEMBL1671812	[#6]1:&@[#6]:&@[#6](-&!@[#6]=,-;!@[#6]2-&@[#16]-&@[#6](-&@[#7]-&@[#6]-&@2=&!@[#8])=&!@[#8]):&@[#6]:&@[#6]:&@[#6]:&@1-&!@[#8]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1	0.7464920486435921
CHEMBL1671841	[#6]-&!@[#6]-&!@[#6]1:&@[#6]:&@[#6](=&!@[#8]):&@[#8]:&@[#6]2:&@[#6]:&@1:&@[#6](:&@[#7]:&@[#6]:&@[#7]:&@2)=&!@[#8]	0.7022411953041622
CHEMBL1781999	[#6]-&!@[#6]1:&@[#6]:&@[#6](-&!@[#7]-&!@[#6]):&@[#7]2:&@[#6](:&@[#7]:&@1):&@[#7]:&@[#6]:&@[#7]:&@2	0.5746209098164405
CHEMBL1795332	[#6]-&!@[#7]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1=&!@[#8])-&!@[#6]1-&@[#6]-&@[#6]-&@[#7]-&@[#6]-&@[#6]-&@1-&!@[#6](=&!@[#8])-&!@[#7](-&!@[#6]-&!@[#6])-&!@[#6]1-&@[#6]-&@[#6]-&@1	0.6106399383191982
CHEMBL1806459	[#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1	0.26975832789026777
CHEMBL1806486	[#6]-&!@[#7]-&!@[#6]1:&@[#6]:&@[#6](:&@[#7]:&@[#7]:&@1)-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@1)-&!@[#7]	0.3905841325196164
CHEMBL1811851	[#6]-&!@[#6](=&!@[#8])-&!@[#7]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@1)-&!@[#7]-&!@[#6]	0.38981562774363476
CHEMBL1817582	[#8]=&!@[#6](-&!@[#6]=&!@[#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1)-&!@[#6]-&!@[#7]-&!@[#6]-&!@[#6]-&!@[#6])-&!@[#7]-&!@[#8]	0.5934684684684685
CHEMBL1828590	[#6]-&!@[#6]-&!@[#6]1:&@[#7]:&@[#6]2:&@[#6](:&@[#7]:&@1-&!@[#6]):&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@2)-&!@[#6]=&!@[#6]-&!@[#6](=&!@[#8])-&!@[#7]-&!@[#8]	0.6652719665271967
