canonical_smiles molregno activity_id standard_value standard_units
Fc1ccc(CCN2CCC(F)(CC2)S(=O)(=O)c3ccc(cc3)C#N)c(F)c1 296864 1404648 2702 nM
Fc1ccc(C(=O)CN2CCC(CC2)S(=O)(=O)c3ccccc3)c(F)c1 296660 1404778 6800 nM
Fc1ccc(CCN2CCC(F)(CC2)S(=O)(=O)c3ccc(Cl)cc3)c(F)c1 296856 1405460 397 nM
Fc1ccc(CCN2CCC(F)(CC2)S(=O)(=O)c3ccccc3F)c(F)c1 296631 1405496 398 nM
Fc1ccc(CCN2CCC(F)(CC2)S(=O)(=O)c3ccc(cc3)N4CCC4)c(F)c1 296685 1405956 9971 nM
COc1cccc([C@H](O)C2CCN(CCc3ccc(F)cc3)CC2)c1OC 120674 1422906 1100 nM
Fc1ccc(CCN2CCC(F)(CC2)S(=O)(=O)c3cccc(F)c3)c(F)c1 296630 12033517 1525 nM
CN(C)CCCn1nc(C2=C(C(=O)NC2=O)c3cn(c4cccnc4)c5ccccc35)c6ccccc16 296926 1403595 610 nM
CN(C)CCCn1nc(C2=C(C(=O)NC2=O)c3cn(c4ccc5ccccc5c4)c6ccccc36)c7ccccc17 296900 1403620 25 nM
CN(C)CCCn1nc(C2=C(C(=O)NC2=O)c3cn(c4cncc5ccccc45)c6ccccc36)c7ccccc17 296954 1403659 490 nM
CN(C)CCCn1nc(C2=C(C(=O)NC2=O)c3cn(c4cnc5ccccc5c4)c6ccccc36)c7ccccc17 296955 1403672 34 nM
O=C1NC(=O)C(=C1c2cn(c3ccc4ccccc4c3)c5ccccc25)c6nn(CCCN7CCOCC7)c8ccccc68 296975 1404554 850 nM
O=C1NC(=O)C(=C1c2cn(c3ccc4ccccc4c3)c5ccccc25)c6nn(CCCN7CCCC7)c8ccccc68 296874 1404561 11 nM
CN1CCN(CCCn2nc(C3=C(C(=O)NC3=O)c4cn(c5ccc6ccccc6c5)c7ccccc47)c8ccccc28)CC1 296875 1404675 290 nM
CC(C)(C)c1ccc(cc1)C(O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4 19569 1404695 320 nM
COc1ccc(OC(F)(F)F)cc1CN[C@H]2CCCN[C@H]2c3ccccc3 156551 1679998 1800 nM
FC(F)(F)Oc1ccc(OC2CC2)c(CNC3CCC4NC3(CC4C5=NC(=O)NN5)c6ccccc6)c1 338404 1680013 5800 nM
OC(=O)C1CC2(NC1CCC2NCc3cc(OC(F)(F)F)ccc3OC4CC4)c5ccc(F)cc5 338134 1680015 4800 nM
Fc1ccc(cc1)C23CC(CNS(=O)(=O)c4ccccc4)C(CCC2NCc5cc(OC(F)(F)F)ccc5OC6CC6)N3 338260 1680016 190 nM
CS(=O)(=O)NCC1CC2(NC1CCC2NCc3cc(OC(F)(F)F)ccc3OC4CC4)c5ccc(F)cc5 338155 1680017 420 nM
OCC1CC2(NC1CCC2NCc3cc(OC(F)(F)F)ccc3OC4CC4)c5ccccc5 338644 1680018 270 nM
FC(F)(F)Oc1ccc(Cl)c(CNC2CCC3CCC2(N3)c4ccccc4)c1 338517 1680019 1400 nM
FC(F)(F)Oc1ccc(OC2CC2)c(CNC3CCC4CCC3(N4)c5ccccc5)c1 338415 1680020 360 nM
COc1ccc(OC(F)(F)F)cc1CNC2CCC3CCC2(N3)c4ccccc4 338147 1680021 240 nM
CN(C)[C@@H]1CC[C@](CC1)(N2CCC(C2=O)c3cc(cc(c3)C(F)(F)F)C(F)(F)F)c4ccccc4 339789 1686242 984 nM
CC(C(=O)N[C@@]1(CC[C@H](CC1)N2CCN(C(=O)C2)c3ccccc3)c4ccccc4)c5cc(cc(c5)C(F)(F)F)C(F)(F)F 339846 1686243 3706 nM
CC(C(=O)N[C@@]1(CC[C@H](CC1)N2CCC3(CCOC3)CC2)c4ccccc4)c5cc(cc(c5)C(F)(F)F)C(F)(F)F 339845 1686244 787 nM
COC1(CCN(C1=O)[C@@]2(CC[C@H](CC2)N3CCC4(CCOC4)CC3)c5ccccc5)c6cc(cc(c6)C(F)(F)F)C(F)(F)F 339881 1686245 947 nM
CC1(CCN(C1=O)[C@@]2(CC[C@H](CC2)N3CCN(C(=O)C3)c4ccccc4Cl)c5ccccc5)c6cc(cc(c6)C(F)(F)F)C(F)(F)F 340136 1686246 2987 nM
CC1(CCN(C1=O)[C@@]2(CC[C@H](CC2)N3CCN(C(=O)C3)c4ccccc4)c5ccccc5)c6cc(cc(c6)C(F)(F)F)C(F)(F)F 340135 1686247 1946 nM
CC1(CCN(C1=O)[C@@]2(CC[C@H](CC2)N3CCC4(CCOC4)CC3)c5ccccc5)c6cc(cc(c6)C(F)(F)F)C(F)(F)F 340185 1686248 364 nM
OC1(CCN(C1=O)[C@@]2(CC[C@H](CC2)N3CCC4(CCOC4)CC3)c5ccccc5)c6cc(cc(c6)C(F)(F)F)C(F)(F)F 340184 1686249 862 nM
FC(F)(F)c1cc(cc(c1)C(F)(F)F)C2CCCN(C2=O)[C@@]3(CC[C@H](CC3)N4CCN(C(=O)C4)c5ccccc5)c6ccccc6 340143 1686250 6529 nM
FC(F)(F)c1cc(cc(c1)C(F)(F)F)C2CCN(C2=O)[C@@]3(CC[C@H](CC3)N4CCN(C(=O)C4)c5ccccc5)c6ccccc6 339750 1686251 1996 nM
FC(F)(F)c1cc(cc(c1)C(F)(F)F)C2CCCN(C2=O)[C@@]3(CC[C@H](CC3)N4CCC5(CCOC5)CC4)c6ccccc6 339749 1686252 798 nM
FC(F)(F)c1cc(cc(c1)C(F)(F)F)C2CCN(C2=O)[C@@]3(CC[C@H](CC3)N4CCC5(CCOC5)CC4)c6ccccc6 339880 1686253 327 nM
FC(F)(F)c1cc(COC2CCC3CCC2(N3)c4ccccc4)cc(c1)C(F)(F)F 344673 1705124 300 nM
C[C@@H](OC1CCC2NC1(CC2c3nnnn3C)c4ccccc4)c5cc(cc(c5)C(F)(F)F)C(F)(F)F 345054 1705127 2800 nM
C[C@@H](OC1CCC2NC1(CC2c3nnn(C)n3)c4ccccc4)c5cc(cc(c5)C(F)(F)F)C(F)(F)F 345045 1705128 1800 nM
Cn1nnnc1C2CC3(NC2CCC3OCc4cc(cc(c4)C(F)(F)F)C(F)(F)F)c5ccccc5 344792 1705129 1250 nM
Cn1nnc(n1)C2CC3(NC2CCC3OCc4cc(cc(c4)C(F)(F)F)C(F)(F)F)c5ccccc5 344791 1705130 100 nM
C[C@@H](OC1CCC2NC1(CC2S(=O)(=O)c3ccccc3)c4ccccc4)c5cc(cc(c5)C(F)(F)F)C(F)(F)F 344783 1705131 1930 nM
FC(F)(F)c1cc(COC2CCC3NC2(CC3S(=O)(=O)c4ccccc4)c5ccccc5)cc(c1)C(F)(F)F 344674 1705132 1300 nM
COc1ccc(Br)cc1CCc2c(Cl)cccc2C(=O)N=C(N)N 344843 1708788 3150 nM
COc1ccc(Br)cc1CCc2c(Cl)cccc2C3=NCCN3 345376 1708789 840 nM
COc1ccccc1Oc2cccc(CN3CCC(CC3)NC(=O)C4(CCNCC4)c5ccccc5)c2 346656 1711655 800 nM
Oc1cc(NC2CCN(Cc3ccc4OCOc4c3)CC2)c5cc(Cl)ccc5n1 345955 1713826 112 nM
CN1C(=O)N=C(NC2CC3CCC(C2)N3Cc4ccc5OCOc5c4)c6cc(Cl)ccc16 346537 1713873 310 nM
FC(F)(F)CN1C(=O)N=C(NC2CC3CCC(C2)N3Cc4ccc5OCOc5c4)c6cc(Cl)ccc16 346532 1713874 120 nM
CN1C(=O)N=C(NC2CC3CCC(C2)N3Cc4ccc5OCOc5c4)c6cc(Cl)ccc16 346537 1713875 540 nM
