doc_id,doc_chembl_id,molregno,compound_chembl_id,compound_type,assay_count,canonical_smiles
105883,CHEMBL4049458,2212406,CHEMBL4072495,local,18,CCOC(=O)c1ccc(CN2CCC(Nc3nc(Oc4c(C)cc(C#N)cc4C)c4ccsc4n3)CC2)cc1
105883,CHEMBL4049458,2215005,CHEMBL4075094,local,18,Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCC(NCc3ccccc3)CC2)nc2ccsc12
105883,CHEMBL4049458,2215154,CHEMBL4075243,local,18,Cc1cc(/C=C/C#N)cc(C)c1Oc1nc(NC2CCN(Cc3cccc(C(N)=O)c3)CC2)nc2ccsc12
105883,CHEMBL4049458,2215916,CHEMBL4076005,local,18,Cc1cc(/C=C/C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(Cl)cc3)CC2)nc2ccsc12
105883,CHEMBL4049458,2217266,CHEMBL4077355,local,18,Cc1cc(/C=C/C#N)cc(C)c1Oc1nc(NC2CCN(Cc3cccc(Br)c3)CC2)nc2ccsc12
105883,CHEMBL4049458,2218385,CHEMBL4078474,local,18,Cc1cc(/C=C/C#N)cc(C)c1Oc1nc(NC2CCN(Cc3cccc(Cl)c3)CC2)nc2ccsc12
105883,CHEMBL4049458,2218451,CHEMBL4078540,local,18,CCOC(=O)c1ccc(CN2CCC(Nc3nc(Oc4c(C)cc(/C=C/C#N)cc4C)c4sccc4n3)CC2)cc1
105883,CHEMBL4049458,2219170,CHEMBL4079259,local,18,Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCC(NCc3ccc(C#N)cc3)CC2)nc2ccsc12
105883,CHEMBL4049458,2220044,CHEMBL4080133,local,18,Cc1cc(/C=C/C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccccn3)CC2)nc2ccsc12
105883,CHEMBL4049458,2222518,CHEMBL4082607,local,18,Cc1cc(/C=C/C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccccc3C#N)CC2)nc2ccsc12
105883,CHEMBL4049458,2223746,CHEMBL4083835,local,18,Cc1cc(/C=C/C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccccc3F)CC2)nc2ccsc12
105883,CHEMBL4049458,2225376,CHEMBL4085465,local,18,Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCN(Cc3cccc(C(N)=O)c3)CC2)nc2sccc12
105883,CHEMBL4049458,2226242,CHEMBL4086331,local,18,Cc1cc(/C=C/C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccccc3Br)CC2)nc2ccsc12
105883,CHEMBL4049458,2227914,CHEMBL4088003,local,18,Cc1cc(/C=C/C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccncc3)CC2)nc2ccsc12
105883,CHEMBL4049458,2229628,CHEMBL4089717,local,18,Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCCN(Cc3ccc(S(N)(=O)=O)cc3)C2)nc2ccsc12
105883,CHEMBL4049458,2229636,CHEMBL4089725,local,18,Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCC(NCc3ccc(F)cc3)CC2)nc2ccsc12
105883,CHEMBL4049458,2230352,CHEMBL4090441,local,18,Cc1cc(/C=C/C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(C#N)cc3)CC2)nc2ccsc12
105883,CHEMBL4049458,2233012,CHEMBL4093101,local,18,Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCC(NCc3ccc(C(N)=O)cc3)CC2)nc2ccsc12
105883,CHEMBL4049458,2233140,CHEMBL4093229,local,18,COC(=O)c1ccc(CN2CCC(Nc3nc(Oc4c(C)cc(C#N)cc4C)c4ccsc4n3)CC2)cc1
105883,CHEMBL4049458,2234006,CHEMBL4094095,local,18,Cc1cc(/C=C/C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(Br)cc3)CC2)nc2ccsc12
105883,CHEMBL4049458,2234902,CHEMBL4094991,local,18,Cc1ccccc1CN1CCC(Nc2nc(Oc3c(C)cc(/C=C/C#N)cc3C)c3sccc3n2)CC1
105883,CHEMBL4049458,2235440,CHEMBL4095529,local,18,Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCC(NCc3ccc(Br)cc3)CC2)nc2ccsc12
105883,CHEMBL4049458,2236475,CHEMBL4096564,local,18,Cc1cc(/C=C/C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(F)cc3)CC2)nc2ccsc12
105883,CHEMBL4049458,2237194,CHEMBL4097283,local,18,Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCC(NCc3cccc(C(F)(F)F)c3)CC2)nc2ccsc12
105883,CHEMBL4049458,2240722,CHEMBL4100811,local,18,Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCCN(Cc3ccc(C(N)=O)cc3)C2)nc2ccsc12
105883,CHEMBL4049458,2241747,CHEMBL4101836,local,18,Cc1cc(/C=C/C#N)cc(C)c1Oc1nc(NC2CCN(Cc3cccc(F)c3)CC2)nc2ccsc12
105883,CHEMBL4049458,2242656,CHEMBL4102745,local,18,Cc1cc(/C=C/C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccccc3Cl)CC2)nc2ccsc12
105883,CHEMBL4049458,2244899,CHEMBL4104988,local,18,Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCC(NCc3ccc(S(C)(=O)=O)cc3)CC2)nc2c1S(=O)(=O)C=C2
105883,CHEMBL4049458,27307,CHEMBL129,reference,17,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O
105883,CHEMBL4049458,374719,CHEMBL223228,reference,17,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1
105883,CHEMBL4049458,4345,CHEMBL57,reference,13,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1
